"pathway","pval","padj","log2err","ES","NES","size"
"DESCARTES_FETAL_CEREBELLUM_MICROGLIA",6.92905605440463e-23,4.12971740842516e-20,1.23789667319529,0.544814623301665,2.34351169373787,466
"DESCARTES_FETAL_CEREBRUM_MICROGLIA",8.61935074431571e-21,2.56856652180608e-18,1.1778932614942,0.580991723367965,2.43992405692053,336
"ZHONG_PFC_MAJOR_TYPES_MICROGLIA",6.12231729727682e-19,1.21630036972566e-16,1.12391496374483,0.524975508550475,2.24349568572462,421
"AIZARANI_LIVER_C6_KUPFFER_CELLS_2",2.6163013566444e-16,3.89828902140016e-14,1.03769615548758,0.610248551316627,2.44858246261864,211
"FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA",2.68552968044091e-15,3.20115137908557e-13,1.00731795687447,0.516248479629169,2.19045960077745,360
"DESCARTES_FETAL_ADRENAL_MYELOID_CELLS",2.02489054331567e-14,2.0113912730269e-12,0.97599468306432,0.654865575917501,2.49410585397997,141
"DESCARTES_FETAL_LIVER_MYELOID_CELLS",3.60236749344077e-14,3.067158608701e-12,0.965327754226083,0.632424862949211,2.44335212056089,158
"CUI_DEVELOPING_HEART_C8_MACROPHAGE",1.02971821247392e-13,7.67140068293074e-12,0.954541630725724,0.548021257073546,2.26486572874318,268
"DESCARTES_FETAL_KIDNEY_MYELOID_CELLS",2.67624212905719e-13,1.77226700990899e-11,0.932595211336209,0.63665238161015,2.41859914211199,147
"DESCARTES_FETAL_INTESTINE_MYELOID_CELLS",3.40140842721279e-13,2.02723942261882e-11,0.932595211336209,0.603800753497673,2.37837276557304,184
"DESCARTES_FETAL_PANCREAS_MYELOID_CELLS",1.18547718717701e-12,6.4231309414318e-11,0.910119734774459,0.593021076201259,2.31737888933999,175
"AIZARANI_LIVER_C2_KUPFFER_CELLS_1",3.32198755093753e-12,1.64992048363231e-10,0.898671232061694,0.590246276782546,2.32437307016349,188
"DESCARTES_FETAL_PLACENTA_MYELOID_CELLS",7.08012060462853e-12,3.01410848597043e-10,0.887074988399873,0.65273321597621,2.41753081023171,121
"GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL",7.03200949666228e-12,3.01410848597043e-10,0.887074988399873,0.511497104606416,2.12611109497586,295
