"pathway","pval","padj","log2err","ES","NES","size"
"SWEET_LUNG_CANCER_KRAS_DN",1.90383900027907e-19,8.64533290026727e-16,1.14219120216838,-0.534650203745063,-2.27758027319149,412
"LIAN_LIPA_TARGETS_3M",5.0348887181209e-10,1.14317148344935e-06,0.801215574617779,0.745283095161042,2.4387186156822,59
"LIAN_LIPA_TARGETS_6M",1.51870502925838e-09,1.72410988446557e-06,0.788186810800237,0.694514267626159,2.36760017137336,75
"STEARMAN_TUMOR_FIELD_EFFECT_UP",1.19229576618608e-09,1.72410988446557e-06,0.788186810800237,0.823088668304881,2.48005660240216,37
"POOLA_INVASIVE_BREAST_CANCER_UP",1.99053739851247e-09,1.80780606532902e-06,0.774939030136436,0.493861449829632,2.00035853144673,262
"NABA_MATRISOME_ASSOCIATED",3.70290095151633e-09,2.80247887013927e-06,0.774939030136436,0.414134935906066,1.78064627304914,489
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP",4.37940020453185e-09,2.84097947553988e-06,0.761460801445585,0.452379022712156,1.86945068582263,335
"RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP",5.29100997385363e-09,3.00330953640867e-06,0.761460801445585,0.433278096790158,1.8325835422844,392
"NADLER_OBESITY_UP",8.37668191705329e-09,3.63812596794159e-06,0.747739663149885,0.712149706536948,2.34267837719358,61
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",8.8129014858748e-09,3.63812596794159e-06,0.747739663149885,0.489927393209589,1.96700399995669,251
"REACTOME_HSF1_ACTIVATION",8.00843108903617e-09,3.63812596794159e-06,0.747739663149885,-0.857812814275804,-2.41263074352337,26
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP",1.99397003817547e-08,7.54551495279567e-06,0.73376198835648,-0.576808529978599,-2.13947111505572,126
"MCLACHLAN_DENTAL_CARIES_UP",3.14593199572609e-08,1.02040551375658e-05,0.719512826338911,0.468951212760431,1.89765735690399,260
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION",3.09608449260138e-08,1.02040551375658e-05,0.719512826338911,-0.805076945211277,-2.38947678850637,34
"VERHAAK_GLIOBLASTOMA_MESENCHYMAL",4.98533577269632e-08,1.50922731625427e-05,0.719512826338911,0.499831560200753,1.97079889914556,207
"MARKEY_RB1_ACUTE_LOF_DN",8.41872067372546e-08,2.38933816121171e-05,0.704975715167238,0.478159293838097,1.89609238562511,231
"REACTOME_ATTENUATION_PHASE",1.2868272433715e-07,3.43734265420586e-05,0.690132458796796,-0.853139205219345,-2.37050434180062,24
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND",1.43525310689176e-07,3.62082464355304e-05,0.690132458796796,-0.730466795244438,-2.31989592576806,48
"BROWN_MYELOID_CELL_DEVELOPMENT_UP",2.25905045587127e-07,5.39913058953234e-05,0.690132458796796,0.528209795207119,2.01024617704973,150
"BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP",4.7069468866364e-07,0.000104997671030261,0.674962860011025,0.553831354178087,2.05850846970039,130
"KEGG_LYSOSOME",4.95695229226577e-07,0.000104997671030261,0.659444398037935,0.563485883408454,2.07027072759989,116
"RODWELL_AGING_KIDNEY_UP",5.08687241282918e-07,0.000104997671030261,0.659444398037935,0.387529643558064,1.66355840979451,468
"REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE",7.48570814001482e-07,0.000147793915929597,0.659444398037935,-0.617551340328009,-2.11038682799939,77
"ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP",7.99226251043264e-07,0.000151220266916144,0.659444398037935,0.525770619812355,2.00180572397356,145
"RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN",1.06963369866312e-06,0.000194288265025169,0.643551836150722,0.428233512432528,1.76144931838832,302
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS",1.22814249844053e-06,0.000214499810977632,0.643551836150722,-0.580999805839636,-2.0593256808907,96
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN",1.32962367999022e-06,0.000223623004845762,0.643551836150722,0.554030783496351,2.05084065904679,119
"DELYS_THYROID_CANCER_UP",1.67873092252266e-06,0.000272254182827693,0.643551836150722,0.396657580906029,1.68275299326608,401
"REACTOME_NEUTROPHIL_DEGRANULATION",1.77147000855447e-06,0.000277387769270546,0.643551836150722,0.381586776551726,1.62881570269907,447
"VECCHI_GASTRIC_CANCER_EARLY_DN",2.25392507232098e-06,0.000341169125113652,0.627256739718528,-0.419340318541864,-1.74285384912431,308
"STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN",2.43990413057355e-06,0.000357406601836597,0.627256739718528,0.637877704160652,2.09791282177388,60
"HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN",2.61562751172127e-06,0.000371173891585197,0.627256739718528,0.584851037849396,2.02848782215721,83
"VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP",3.75404518862062e-06,0.000516579369743219,0.627256739718528,0.493006819572806,1.88172592035271,158
"HOSHIDA_LIVER_CANCER_SUBCLASS_S1",3.9943266302227e-06,0.000533477565524744,0.610526878385931,0.442469241326836,1.75456708708709,231
