"pathway","pval","padj","log2err","ES","NES","size"
"GOCC_CONTRACTILE_FIBER",5.70377391944817e-11,4.4900108293896e-07,0.851339057116899,-0.544563527927782,-2.17351962675405,219
"GOMF_HEAT_SHOCK_PROTEIN_BINDING",1.10221840240928e-07,0.000433833163188291,0.704975715167238,-0.589466234548366,-2.15862473914969,113
"GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT",1.81801086593747e-07,0.000477046051221993,0.690132458796796,-0.497176609048663,-1.97631183557369,200
"GOBP_PROTEIN_FOLDING",4.15816471482941e-07,0.000818326815878428,0.674962860011025,-0.503705554646373,-1.98483772984428,180
"GOBP_MUSCLE_CELL_DIFFERENTIATION",7.138678754916e-07,0.000866600501018342,0.659444398037935,-0.425222808224686,-1.7807790457345,335
"GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",5.90816594991581e-07,0.000866600501018342,0.659444398037935,0.395034506046646,1.70812796538942,443
"GOCC_I_BAND",7.70605120316107e-07,0.000866600501018342,0.659444398037935,-0.547678605272111,-2.04099788411189,128
"GOBP_REGULATION_OF_MITOTIC_SPINDLE_ASSEMBLY",1.09459916263252e-06,0.0010770855760304,0.643551836150722,-0.841604460428978,-2.28801744690679,22
"GOBP_MUSCLE_SYSTEM_PROCESS",1.29994415953505e-06,0.00113701782487332,0.643551836150722,-0.410003951054394,-1.73243325547707,377
"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",1.47089688131289e-06,0.00115789002496951,0.643551836150722,0.410020078572514,1.73567845344665,371
"GOBP_REGULATION_OF_SPINDLE_ASSEMBLY",1.83775654177626e-06,0.0013151654088057,0.643551836150722,-0.778009662751848,-2.24486639971009,29
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",2.05626402390887e-06,0.00134890919968422,0.627256739718528,-0.41417750806213,-1.73880781503523,348
"GOBP_MUSCLE_CONTRACTION",3.42254339800429e-06,0.00207248166377613,0.627256739718528,-0.420385026027745,-1.73671107207213,300
"GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION",3.96726483514333e-06,0.00223073634158917,0.610526878385931,0.498062074803404,1.9154271913501,155
"GOCC_TERTIARY_GRANULE",6.1999377136553e-06,0.0032537273121263,0.610526878385931,0.497474789973299,1.90942776421973,151
"GOMF_UNFOLDED_PROTEIN_BINDING",8.80326653440435e-06,0.00433120713492694,0.593325476396405,-0.553596736161718,-1.98911023364261,99
"GOCC_SECRETORY_GRANULE_MEMBRANE",1.06719199064924e-05,0.00494172667670048,0.593325476396405,0.414473640450711,1.71012150853473,282
"GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING",1.23422300366874e-05,0.00511358078151595,0.593325476396405,-0.636739719669952,-2.15521742638492,65
"GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",1.19234670272463e-05,0.00511358078151595,0.593325476396405,-0.506734933302841,-1.9328623930531,148
"GOBP_MONONUCLEAR_CELL_MIGRATION",1.56846005245956e-05,0.00536822501433115,0.575610261071129,0.472123766082704,1.8346205999829,166
"GOBP_MYELOID_LEUKOCYTE_ACTIVATION",1.39926255041087e-05,0.00536822501433115,0.593325476396405,0.454751327680211,1.79910834773662,203
"GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION",1.46774733699155e-05,0.00536822501433115,0.593325476396405,0.4512107431531,1.76907563547935,192
"GOMF_MISFOLDED_PROTEIN_BINDING",1.51648509777441e-05,0.00536822501433115,0.593325476396405,-0.771980034534837,-2.15508970775789,25
"GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT",1.64021215090959e-05,0.00537989585498346,0.575610261071129,-0.634055180278695,-2.13654201324735,63
"GOBP_DE_NOVO_PROTEIN_FOLDING",1.95709588387851e-05,0.00592548415303523,0.575610261071129,-0.70650523062278,-2.14843385728871,39
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",1.91027154109168e-05,0.00592548415303523,0.575610261071129,0.389555024267026,1.64389680779293,343
"GOBP_MYELOID_LEUKOCYTE_MIGRATION",2.1188867519233e-05,0.00617773204116305,0.575610261071129,0.45870490354694,1.79257441628324,189
"GOBP_MONOCYTE_CHEMOTAXIS",2.59740929122168e-05,0.00705062273810243,0.575610261071129,0.648139148700884,2.09519516677693,51
"GOCC_SPECIFIC_GRANULE",2.55535348099506e-05,0.00705062273810243,0.575610261071129,0.483073159096066,1.84716891340553,145
"GOCC_INCLUSION_BODY",2.80076924951886e-05,0.00734921851073748,0.575610261071129,-0.604499007821242,-2.06302973330303,68
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE",2.94688319893038e-05,0.00748318211031612,0.575610261071129,0.403768560830412,1.67519327403076,308
"GOBP_MUSCLE_CELL_DEVELOPMENT",3.0539473279938e-05,0.00751271042686474,0.557332238758646,-0.478524670430702,-1.86047563215829,161
"GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS",3.22753062614387e-05,0.00769912760272865,0.557332238758646,-0.534655125012551,-1.92518262128934,102
