Unnamed: 0,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000014030,ENSMUSG00000014030,Pax5,1.66639217492352,3.99468548093286,37.3093987254481,1.00797653764643e-09,3.77750163749714e-07
ENSMUSG00000104213,ENSMUSG00000104213,Ighd,1.78506607667909,4.62205159475267,33.7644844704289,6.220416662976331e-09,1.34042203566311e-06
ENSMUSG00000042474,ENSMUSG00000042474,Fcmr,1.74500881463924,3.48401552457023,29.1446477998574,6.71710466953193e-08,8.5854153722076e-06
ENSMUSG00000005540,ENSMUSG00000005540,Fcer2a,1.21826915167665,3.69647321231554,28.2093662165838,1.08876433430003e-07,1.29442816268953e-05
ENSMUSG00000038418,ENSMUSG00000038418,Egr1,1.45501621261097,6.37153860334927,21.6248581539259,3.31527183821311e-06,0.0002093478799229
ENSMUSG00000038421,ENSMUSG00000038421,Fcrla,1.56676997397899,2.461004412839,21.5946189414378,3.36795419911503e-06,0.0002105241421248
ENSMUSG00000073008,ENSMUSG00000073008,Gpr174,1.32470323558672,2.0791205727305,19.908959121322,8.12188223109864e-06,0.0004128458139461
ENSMUSG00000022416,ENSMUSG00000022416,Cacna1i,1.78962461438304,1.31757005775897,19.6526197094065,9.28758907468685e-06,0.0004497436743217
ENSMUSG00000033730,ENSMUSG00000033730,Egr3,1.17767915908946,1.92376801241993,19.274630504988,1.13200526360938e-05,0.0005236071047952
ENSMUSG00000059994,ENSMUSG00000059994,Fcrl1,1.36838077506562,2.27708407134438,18.8577969312518,1.40834252766744e-05,0.0006054468038518
ENSMUSG00000103527,ENSMUSG00000103527,Gm37261,1.37687805979451,0.524859179584932,16.9982247856225,3.74147837139631e-05,0.0012671777140373
ENSMUSG00000058470,ENSMUSG00000058470,Gm8369,1.34165757088481,1.19007092586534,13.1625641064143,0.0002855978089644,0.0057249077078357
