"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name"
"ENSMUSG00000027611","turquoise",98,100,120,102,123,112,228,346,272,328,303,451,400,519,488,"Procr"
"ENSMUSG00000027656","turquoise",583,434,553,843,523,558,1274,993,1139,1109,1089,1304,1259,1414,1644,"Wisp2"
"ENSMUSG00000027663","turquoise",712,601,592,583,644,552,1264,1057,1423,921,989,1066,1383,1263,1755,"Zmat3"
"ENSMUSG00000027690","yellow",1,7,26,43,250,7,7,3,20,4,11,3,11,7,11,"Slc2a2"
"ENSMUSG00000027698","turquoise",1909,1438,1539,2044,1909,1767,3160,1909,2493,2478,2331,2520,2929,3241,3272,"Nceh1"
"ENSMUSG00000027737","turquoise",192,168,145,206,212,166,411,446,390,351,350,379,528,494,493,"Slc7a11"
"ENSMUSG00000027748","turquoise",1,1,1,0,0,1,2,19,9,11,7,17,4,17,9,"Trpc4"
"ENSMUSG00000027796","blue",651,470,278,528,453,455,832,340,554,364,361,413,586,338,566,"Smad9"
"ENSMUSG00000027797","turquoise",257,172,144,174,206,222,437,381,414,404,344,423,386,431,502,"Dclk1"
"ENSMUSG00000027820","blue",5210,4524,3181,5303,4420,4890,8256,3133,6050,3670,3573,3064,5982,4636,5928,"Mme"
"ENSMUSG00000027831","turquoise",90,102,95,93,141,94,136,169,156,148,168,175,181,227,301,"Veph1"
"ENSMUSG00000027848","turquoise",1318,1054,1137,1422,1063,1438,2401,1911,2187,1881,1809,1854,2393,2226,2734,"Olfml3"
"ENSMUSG00000027868","brown",6,6,7,10,6,100,9,6,11,6,9,5,11,5,13,"Tbx15"
"ENSMUSG00000027875","turquoise",435,493,450,831,333,390,1169,667,884,549,545,537,840,571,1196,"Hmgcs2"
"ENSMUSG00000027887","brown",15,12,10,10,8,88,16,7,13,3,5,7,18,16,17,"Sypl2"
"ENSMUSG00000027907","turquoise",4075,3130,4383,3644,4156,3738,6850,5571,6268,5552,5163,6250,7587,7365,7755,"S100a11"
"ENSMUSG00000027912","brown",0,0,0,0,0,33,0,0,0,0,0,0,1,0,0,"Lce1m"
"ENSMUSG00000027913","brown",0,0,0,0,0,460,0,0,0,0,0,0,1,1,0,"Crct1"
"ENSMUSG00000027919","brown",0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,"Lce1g"
"ENSMUSG00000027923","brown",0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,"Lce1b"
"ENSMUSG00000027931","blue",4189,3772,3586,4106,3609,2813,6476,2457,3609,2135,2357,2333,4525,2585,4293,"Npr1"
"ENSMUSG00000027954","blue",1762,1277,1799,2157,1452,1434,2753,1367,1941,1370,1132,1310,2185,1430,2319,"Efna1"
"ENSMUSG00000027955","turquoise",772,743,863,1413,952,925,2205,1456,1737,2062,1892,2177,2131,2531,2689,"Fam198b"
"ENSMUSG00000027962","turquoise",1959,1692,1442,1691,1358,1180,2688,2615,3248,2097,2232,2181,3399,2896,3267,"Vcam1"
"ENSMUSG00000027978","blue",252,151,192,276,153,214,467,225,370,153,189,132,356,143,352,"Prss12"
"ENSMUSG00000027995","turquoise",666,482,429,675,703,541,967,610,739,879,919,677,913,1020,1185,"Tlr2"
"ENSMUSG00000028001","turquoise",6,7,38,8,36,2,11,56,24,37,43,33,75,89,74,"Fga"
"ENSMUSG00000028007","turquoise",772,760,977,974,1177,781,1272,1118,1247,1063,1011,1242,1583,1413,1388,"Snx7"
"ENSMUSG00000028019","turquoise",98,73,100,113,89,109,213,186,169,186,197,227,239,296,277,"Pdgfc"
"ENSMUSG00000028028","turquoise",414,369,327,597,578,549,1136,594,714,573,683,729,620,706,1041,"Alpk1"
"ENSMUSG00000028031","turquoise",22,47,44,40,55,38,52,125,49,115,119,232,147,254,204,"Dkk2"
"ENSMUSG00000028033","blue",217,189,158,228,187,221,348,147,192,135,116,127,198,115,217,"Kcnq5"
"ENSMUSG00000028037","turquoise",307,140,134,266,193,197,483,481,374,549,379,507,374,440,780,"Ifi44"
"ENSMUSG00000028041","turquoise",1942,1730,1661,1675,1605,1275,2843,2244,2328,1816,1989,2256,3267,2523,3330,"Adam15"
"ENSMUSG00000028111","turquoise",1346,1172,1542,1107,1771,1844,2760,6937,3154,6427,5590,7984,6019,10824,5063,"Ctsk"
"ENSMUSG00000028116","blue",385,274,278,440,182,391,635,223,506,182,185,249,360,190,673,"Myoz2"
"ENSMUSG00000028132","turquoise",657,698,572,625,775,592,1096,903,1258,784,874,913,1378,1208,1277,"Tmem56"
"ENSMUSG00000028148","brown",5,4,2,4,6,105,4,11,14,13,5,10,18,9,11,"Them5"
"ENSMUSG00000028197","turquoise",29,19,10,24,31,34,66,114,55,115,103,177,96,202,146,"Col24a1"
"ENSMUSG00000028211","turquoise",2039,1796,1680,2374,2061,2210,4383,3326,3750,3283,3609,3258,3729,3630,4869,"Trp53inp1"
"ENSMUSG00000028238","turquoise",1174,1104,1391,1197,1539,1199,2064,2752,1761,2673,2600,3255,2760,5075,2815,"Atp6v0d2"
"ENSMUSG00000028248","blue",2724,2601,1884,3221,2738,2134,4967,2027,2425,1850,2438,2424,2453,1900,3980,"Pnisr"
"ENSMUSG00000028249","turquoise",6413,5137,5564,6353,6254,5419,10551,7792,8970,7765,7321,8998,10905,10152,11551,"Sdcbp"
"ENSMUSG00000028255","turquoise",3,19,0,0,18,11,8,72,63,28,29,14,378,16,26,"Clca1"
"ENSMUSG00000028278","turquoise",485,375,366,462,422,436,783,738,787,691,621,777,978,876,1079,"Rragd"
"ENSMUSG00000028327","turquoise",35,24,60,36,89,44,88,134,72,152,157,232,115,236,113,"Stra6l"
"ENSMUSG00000028339","turquoise",612,544,529,718,843,553,981,1535,1303,1361,1690,2087,1680,3063,2660,"Col15a1"
"ENSMUSG00000028341","turquoise",356,366,167,68,184,454,575,433,529,110,185,689,565,602,1523,"Nr4a3"
"ENSMUSG00000028347","blue",622,598,731,753,680,582,1261,439,796,520,483,497,879,520,860,"Tmeff1"
"ENSMUSG00000028351","turquoise",72,52,62,66,53,64,125,184,181,146,134,165,161,178,230,"Brinp1"
"ENSMUSG00000028358","yellow",45,86,130,179,280,53,128,74,126,74,51,84,67,64,87,"Zfp618"
"ENSMUSG00000028364","turquoise",964,569,507,515,563,656,1152,2787,2283,2504,2492,3760,2818,3360,3211,"Tnc"
"ENSMUSG00000028369","turquoise",2188,2023,1560,2796,2289,2200,5075,2987,3549,3440,3365,3990,3721,4048,5415,"Svep1"
"ENSMUSG00000028373","turquoise",511,567,368,637,553,639,1170,978,1069,1007,958,839,1129,1241,1455,"Astn2"
"ENSMUSG00000028392","yellow",458,356,419,500,648,394,687,323,460,297,342,345,625,370,538,"Bspry"
"ENSMUSG00000028399","turquoise",1388,1111,921,1596,1304,1409,2724,1734,2150,1798,1798,1698,1969,2191,2538,"Ptprd"
"ENSMUSG00000028410","green",8694,8565,6380,3450,4224,4266,7979,6083,11389,3079,3420,3923,13695,6859,11330,"Dnaja1"
"ENSMUSG00000028444","blue",108,127,140,118,127,133,219,55,123,78,66,59,101,72,149,"Cntfr"
"ENSMUSG00000028459","turquoise",143,125,123,273,219,202,406,232,193,282,211,307,236,207,305,"Cd72"
"ENSMUSG00000028464","brown",1404,1163,1233,1325,1061,3342,2556,1222,1858,1268,1173,1397,2009,1490,2267,"Tpm2"
"ENSMUSG00000028475","blue",249,210,210,191,199,133,260,134,195,97,133,109,214,125,177,"Spaar"
"ENSMUSG00000028476","blue",1520,1355,1110,1692,1267,1389,2745,1052,1636,1135,1091,927,1873,1194,2040,"Reck"
"ENSMUSG00000028480","blue",650,558,591,485,391,337,699,437,580,445,402,437,884,431,672,"Glipr2"
"ENSMUSG00000028494","turquoise",3487,3073,3700,4004,3289,3069,6289,5397,5291,4732,4770,6355,6382,8399,7207,"Plin2"
"ENSMUSG00000028497","turquoise",390,315,352,482,416,390,847,548,669,663,545,674,721,692,836,"Hacd4"
"ENSMUSG00000028581","turquoise",4276,3505,4164,5023,5101,4647,8386,7048,6044,7427,7021,8342,7694,10918,8506,"Laptm5"
"ENSMUSG00000028583","turquoise",3349,2849,4151,4013,3800,3142,7714,5208,5466,4903,5092,5648,6702,5970,7194,"Pdpn"
"ENSMUSG00000028599","turquoise",1359,1087,1134,1271,1508,1201,2346,1811,1784,1785,1743,2057,2300,2759,2413,"Tnfrsf1b"
"ENSMUSG00000028600","turquoise",957,746,583,914,774,872,1991,1547,1872,1359,1213,1397,1708,1458,2263,"Podn"
"ENSMUSG00000028630","blue",798,669,550,1284,933,699,1562,586,923,821,723,704,960,699,998,"Dyrk2"
"ENSMUSG00000028633","turquoise",1055,795,853,925,1096,953,1654,1418,1409,1215,1283,1518,2092,1633,1936,"Ctps"
"ENSMUSG00000028655","turquoise",283,299,347,215,400,291,452,378,357,270,353,398,559,533,425,"Mfsd2a"
"ENSMUSG00000028673","turquoise",1812,1767,2201,2271,2198,1897,3540,2739,3110,2673,2643,2955,3618,3622,3566,"Fuca1"
"ENSMUSG00000028691","turquoise",5250,4353,5478,5413,6050,4614,8807,6987,7544,6968,6370,7379,9478,9394,9796,"Prdx1"
"ENSMUSG00000028698","turquoise",549,466,415,617,619,512,1085,1023,1132,799,781,896,1249,1082,1464,"Pik3r3"
"ENSMUSG00000028713","blue",17563,12782,14519,16204,10496,13062,27148,10232,15954,8991,9665,8801,18104,10356,17126,"Cyp4b1"
"ENSMUSG00000028749","brown",0,0,0,0,0,31,1,0,0,1,0,0,2,1,0,"Pla2g2f"
"ENSMUSG00000028763","turquoise",7645,6534,4934,7713,6932,5500,13689,8939,9776,9944,10850,13497,11122,13879,18472,"Hspg2"
"ENSMUSG00000028766","turquoise",1006,994,969,1202,1090,944,2411,1261,2100,1507,1728,1457,2172,1607,2514,"Alpl"
"ENSMUSG00000028776","green",2976,2630,3101,1980,1824,1658,3300,2387,2916,1275,1841,1636,5188,2622,2964,"Tinagl1"
"ENSMUSG00000028832","blue",1329,1247,1355,1430,1353,1106,2099,978,1367,1000,936,821,1673,1006,1753,"Stmn1"
"ENSMUSG00000028859","blue",407,287,877,734,492,478,1644,329,441,422,435,406,525,386,716,"Csf3r"
"ENSMUSG00000028862","blue",456,392,639,386,296,340,854,485,469,284,483,347,544,470,548,"Map3k6"
"ENSMUSG00000028893","turquoise",429,412,496,494,600,580,996,943,878,615,714,857,979,1064,1141,"Sesn2"
"ENSMUSG00000028906","blue",3146,2838,2782,4282,2975,2971,7151,2249,3540,2426,2380,2323,3258,2336,3877,"Epb41"
"ENSMUSG00000028909","blue",1032,977,940,1517,1164,906,2311,509,775,653,695,680,1045,622,1096,"Ptpru"
"ENSMUSG00000028957","turquoise",500,547,504,1633,1891,1768,3348,1058,1483,1685,1672,2013,903,1802,2926,"Per3"
"ENSMUSG00000028965","turquoise",37,34,31,25,57,56,79,75,45,70,54,129,79,95,90,"Tnfrsf9"
"ENSMUSG00000028970","turquoise",167,115,102,177,123,158,302,232,292,187,221,239,309,290,377,"Abcb1b"
"ENSMUSG00000028977","blue",2914,2375,2018,2944,2453,1772,4216,1628,2758,1821,1995,1786,2844,1534,2806,"Casz1"
"ENSMUSG00000028978","turquoise",507,501,418,384,421,263,716,652,607,393,509,623,800,741,837,"Nos3"
"ENSMUSG00000028989","turquoise",76,47,101,50,62,72,154,191,119,105,127,102,95,152,177,"Angptl7"
"ENSMUSG00000028996","turquoise",7,15,23,16,6,5,11,37,19,14,31,42,47,67,51,"Rbp7"
"ENSMUSG00000029084","red",660,722,784,1345,1088,945,1904,833,978,1025,927,902,1220,845,1466,"Cd38"
"ENSMUSG00000029086","turquoise",819,691,609,761,713,699,1628,1203,1527,1247,1159,1151,1766,1374,1662,"Prom1"
"ENSMUSG00000029090","blue",1727,1614,1244,1638,1239,1263,2818,1216,1943,1188,1123,1045,2323,1229,1997,"Adgra3"
"ENSMUSG00000029092","turquoise",1,2,0,1,1,0,0,14,2,4,14,14,15,16,17,"D5Ertd615e"
"ENSMUSG00000029093","turquoise",998,968,1020,1365,1803,1034,1872,1442,1655,1526,1515,2033,1739,2015,2031,"Sorcs2"
"ENSMUSG00000029096","blue",424,397,412,503,268,347,579,274,403,244,232,244,450,242,515,"Htra3"
"ENSMUSG00000029102","yellow",73,84,176,118,228,73,165,86,122,95,99,104,134,117,149,"Hgfac"
"ENSMUSG00000029103","turquoise",2695,2313,2699,2892,2731,2579,5054,3735,3956,3179,3403,4146,4607,4497,4989,"Lrpap1"
"ENSMUSG00000029108","turquoise",285,187,158,271,173,270,431,289,398,337,247,406,342,315,520,"Pcdh7"
"ENSMUSG00000029119","turquoise",1439,1382,1442,1892,1951,1672,3181,2138,2368,2330,2091,2572,2671,2798,3247,"Man2b2"
"ENSMUSG00000029126","green",1470,1067,1230,1027,883,787,1838,1216,1636,877,940,893,2045,1032,1840,"Nsg1"
"ENSMUSG00000029135","turquoise",2609,2165,2035,2360,2505,3258,5952,3966,3980,1928,2597,5049,4419,5035,6386,"Fosl2"
"ENSMUSG00000029168","blue",488,348,304,481,332,332,809,301,462,291,284,199,490,234,516,"Dpysl5"
"ENSMUSG00000029174","turquoise",732,665,585,814,753,750,1459,1170,1162,1098,1164,1182,1381,1496,1594,"Tbc1d1"
"ENSMUSG00000029188","yellow",33331,35787,40688,46512,58614,33657,55749,30203,42395,35563,36647,40754,44537,48141,45875,"Slc34a2"
"ENSMUSG00000029189","turquoise",105,93,121,107,199,93,157,200,97,175,147,263,165,259,156,"Sel1l3"
"ENSMUSG00000029231","blue",5357,3862,2868,5183,3112,3269,7270,3278,4668,3092,3519,3118,5697,3731,4783,"Pdgfra"
"ENSMUSG00000029238","blue",2724,2207,1537,2267,1505,1425,3229,1920,2980,1508,1729,1651,3441,1940,2580,"Clock"
"ENSMUSG00000029273","blue",569,471,478,531,409,452,1303,500,786,428,437,320,855,447,899,"Sult1d1"
"ENSMUSG00000029287","blue",2096,1827,1613,2517,1765,2002,4033,1597,2313,1644,1534,1471,2348,1797,2876,"Tgfbr3"
"ENSMUSG00000029298","blue",2033,1922,1384,2526,1737,1933,3922,1992,2959,1643,1633,1495,2197,1535,2754,"Gbp9"
"ENSMUSG00000029304","turquoise",1685,1433,2169,2141,4233,1873,2644,13678,2959,9803,7710,24237,7426,18329,9411,"Spp1"
"ENSMUSG00000029306","turquoise",0,0,1,1,1,0,3,3,0,4,0,159,6,65,2,"Ibsp"
"ENSMUSG00000029307","turquoise",1,2,0,2,0,0,0,3,1,5,0,49,3,7,1,"Dmp1"
"ENSMUSG00000029334","blue",397,416,354,467,258,269,608,323,434,227,277,154,521,272,454,"Prkg2"
"ENSMUSG00000029361","brown",6,9,3,14,3,93,26,9,27,11,14,26,11,11,30,"Nos1"
"ENSMUSG00000029368","yellow",16,21,50,17,149,9,19,7,27,10,6,5,9,4,11,"Alb"
"ENSMUSG00000029371","blue",271,93,68,53,45,20,111,61,60,33,36,37,177,19,66,"Cxcl5"
"ENSMUSG00000029373","turquoise",160,191,225,354,335,130,436,291,379,287,317,316,451,406,502,"Pf4"
"ENSMUSG00000029375","yellow",22315,26392,34471,30964,40597,13779,26211,19362,28559,17027,18318,23004,33611,24612,26910,"Cxcl15"
"ENSMUSG00000029377","yellow",31,120,237,106,308,80,45,45,115,26,25,68,53,34,50,"Ereg"
"ENSMUSG00000029379","yellow",16,21,24,15,47,9,19,4,5,6,7,5,17,0,13,"Cxcl3"
"ENSMUSG00000029401","turquoise",289,255,310,342,345,267,563,536,449,428,395,563,613,641,596,"Rilpl2"
"ENSMUSG00000029417","turquoise",28,48,38,30,24,31,80,154,124,95,115,105,79,100,92,"Cxcl9"
"ENSMUSG00000029455","blue",22831,19906,22940,23655,20405,19414,38045,18573,24106,15706,16693,15372,29074,19322,26803,"Aldh2"
"ENSMUSG00000029522","yellow",251,313,379,381,543,302,413,180,253,186,179,219,236,253,256,"Pla2g1b"
"ENSMUSG00000029561","turquoise",876,518,546,805,642,593,1583,973,882,879,835,980,999,939,1512,"Oasl2"
"ENSMUSG00000029581","turquoise",593,559,432,590,595,566,1126,1627,1305,1330,1375,1713,1889,2097,2147,"Fscn1"
"ENSMUSG00000029602","turquoise",7,10,8,20,15,32,26,39,20,41,21,70,18,48,46,"Rasal1"
"ENSMUSG00000029608","turquoise",1,0,0,2,3,0,7,36,6,39,28,53,24,63,27,"Rph3a"
"ENSMUSG00000029622","turquoise",4536,3740,5293,4840,5110,4454,8329,5994,6064,5440,5439,6099,7813,7611,7890,"Arpc1b"
"ENSMUSG00000029641","blue",549,513,629,599,459,376,782,496,620,294,445,331,792,489,563,"Rasl11a"
"ENSMUSG00000029657","green",4649,4562,2035,795,1152,1095,2530,2261,6398,869,928,1147,7848,2650,5533,"Hsph1"
"ENSMUSG00000029661","turquoise",7556,6822,4952,7259,6374,7094,11405,11239,12293,11321,10662,14367,13191,14230,16004,"Col1a2"
"ENSMUSG00000029675","green",5331,5961,4965,3313,2966,1925,3757,4834,4587,2447,3421,4665,9832,3871,4404,"Eln"
"ENSMUSG00000029683","brown",198,200,175,288,183,362,454,196,382,195,185,231,266,183,501,"Lmod2"
"ENSMUSG00000029695","yellow",155,146,183,242,364,109,225,94,195,95,111,90,160,143,193,"Aass"
"ENSMUSG00000029762","turquoise",451,378,439,533,564,561,934,920,924,838,789,937,1009,1003,956,"Akr1b8"
"ENSMUSG00000029763","turquoise",1358,1146,986,1406,1346,1113,2328,1742,2209,1873,1746,2042,2415,2065,2812,"Exoc4"
"ENSMUSG00000029772","blue",3581,3111,3101,2675,2566,1865,3983,1997,3210,1674,1864,1857,3866,2184,2678,"Ahcyl2"
"ENSMUSG00000029802","turquoise",353,321,458,598,454,525,1171,645,618,637,756,911,759,1121,1043,"Abcg2"
"ENSMUSG00000029804","red",255,242,214,505,441,340,667,272,399,384,328,385,331,331,421,"Herc3"
"ENSMUSG00000029810","turquoise",6240,4850,5714,6103,6156,5522,11630,8623,9518,8461,7777,9108,11469,10323,12789,"Tmem176b"
"ENSMUSG00000029811","turquoise",21,19,35,42,33,45,114,165,150,169,134,194,185,190,247,"Aoc1"
"ENSMUSG00000029816","turquoise",1643,1332,1572,1601,2085,1768,2947,9644,3243,7803,6613,13199,6495,12753,6481,"Gpnmb"
"ENSMUSG00000029817","green",2335,2152,1978,1792,1879,1667,3647,1950,2839,1443,1591,1789,3300,2352,3420,"Tra2a"
"ENSMUSG00000029819","turquoise",6,7,9,11,7,14,22,175,27,103,78,276,88,187,88,"Npy"
"ENSMUSG00000029829","yellow",28,47,66,45,66,24,10,7,15,9,5,9,10,9,18,"Tmem213"
"ENSMUSG00000029859","blue",504,441,449,611,668,636,1021,351,589,488,420,343,591,477,755,"Epha1"
"ENSMUSG00000029864","blue",723,590,715,768,625,625,1139,439,690,479,479,443,790,550,781,"Gstk1"
"ENSMUSG00000029875","turquoise",82,99,88,78,47,42,165,156,260,81,150,85,348,131,185,"Ccdc184"
"ENSMUSG00000029915","turquoise",81,86,109,131,139,112,189,235,141,239,200,288,232,287,241,"Clec5a"
"ENSMUSG00000029919","turquoise",73,53,66,125,79,84,165,221,219,278,263,372,195,348,369,"Hpgds"
"ENSMUSG00000029925","turquoise",237,220,225,318,290,269,478,409,380,498,568,645,474,723,615,"Tbxas1"
"ENSMUSG00000030000","turquoise",72,72,62,140,80,71,252,194,276,213,264,243,315,307,432,"Add2"
"ENSMUSG00000030017","turquoise",564,468,415,318,407,371,800,1043,1585,862,831,840,2679,834,1786,"Reg3g"
"ENSMUSG00000030022","turquoise",1625,1461,884,1084,1265,878,1593,2198,2348,1182,1736,1306,2459,2151,3029,"Adamts9"
"ENSMUSG00000030046","turquoise",0,0,0,0,0,0,0,1,45,1,0,0,0,3,0,"Bmp10"
"ENSMUSG00000030047","turquoise",392,344,409,549,463,503,965,714,561,723,636,896,837,1080,950,"Arhgap25"
"ENSMUSG00000030049","yellow",0,11,96,7,106,3,5,1,20,1,0,0,1,0,0,"Gkn2"
"ENSMUSG00000030067","blue",4655,3566,3305,4044,3933,2845,5428,2258,3491,2887,2718,2802,4357,2680,4279,"Foxp1"
"ENSMUSG00000030074","turquoise",108,89,42,75,60,78,169,131,206,111,121,160,196,175,215,"Gxylt2"
